,date,time,comp,round,day,venue,gf,ga,opponent,poss,attendance,formation,sh,save%,season,team
11,2020-12-12,18:30,Bundesliga,Matchweek 11,Sat,Home,1,1,Bayern Munich,33.0,,4-1-4-1,12.0,80.0,2021,Union Berlin
12,2020-12-15,20:30,Bundesliga,Matchweek 12,Tue,Away,2,2,Stuttgart,38.0,,5-3-2,15.0,60.0,2021,Union Berlin
13,2020-12-18,20:30,Bundesliga,Matchweek 13,Fri,Home,2,1,Dortmund,30.0,,4-1-4-1,12.0,66.7,2021,Union Berlin
15,2021-01-02,15:30,Bundesliga,Matchweek 14,Sat,Away,2,0,Werder Bremen,43.0,,5-3-2,9.0,100.0,2021,Union Berlin
16,2021-01-09,15:30,Bundesliga,Matchweek 15,Sat,Home,2,2,Wolfsburg,48.0,,3-5-2,13.0,80.0,2021,Union Berlin
17,2021-01-15,20:30,Bundesliga,Matchweek 16,Fri,Home,1,0,Leverkusen,33.0,,3-1-4-2,11.0,100.0,2021,Union Berlin
18,2021-01-20,20:30,Bundesliga,Matchweek 17,Wed,Away,0,1,RB Leipzig,33.0,,3-1-4-2,4.0,80.0,2021,Union Berlin
19,2021-01-23,15:30,Bundesliga,Matchweek 18,Sat,Away,1,2,Augsburg,64.0,,3-4-3,8.0,50.0,2021,Union Berlin
20,2021-01-30,15:30,Bundesliga,Matchweek 19,Sat,Home,1,1,M'Gladbach,43.0,,3-5-2,13.0,75.0,2021,Union Berlin
21,2021-02-06,15:30,Bundesliga,Matchweek 20,Sat,Away,0,1,Mainz 05,57.0,,3-5-2,11.0,100.0,2021,Union Berlin
22,2021-02-13,18:30,Bundesliga,Matchweek 21,Sat,Home,0,0,Schalke 04,38.0,,3-5-2,20.0,,2021,Union Berlin
23,2021-02-20,15:30,Bundesliga,Matchweek 22,Sat,Away,1,0,Freiburg,35.0,,3-5-2,15.0,100.0,2021,Union Berlin
24,2021-02-28,13:30,Bundesliga,Matchweek 23,Sun,Home,1,1,Hoffenheim,46.0,,3-1-4-2,4.0,50.0,2021,Union Berlin
25,2021-03-07,18:00,Bundesliga,Matchweek 24,Sun,Away,0,0,Arminia,59.0,,4-4-2,8.0,100.0,2021,Union Berlin
26,2021-03-13,15:30,Bundesliga,Matchweek 25,Sat,Home,2,1,Köln,42.0,,3-5-2,13.0,100.0,2021,Union Berlin
27,2021-03-20,15:30,Bundesliga,Matchweek 26,Sat,Away,2,5,Eint Frankfurt,47.0,,3-5-2,25.0,0.0,2021,Union Berlin
28,2021-04-04,18:00,Bundesliga,Matchweek 27,Sun,Home,1,1,Hertha BSC,59.0,,3-4-1-2,13.0,100.0,2021,Union Berlin
29,2021-04-10,15:30,Bundesliga,Matchweek 28,Sat,Away,1,1,Bayern Munich,41.0,,4-2-3-1,7.0,50.0,2021,Union Berlin
30,2021-04-17,15:30,Bundesliga,Matchweek 29,Sat,Home,2,1,Stuttgart,44.0,,3-1-4-2,9.0,50.0,2021,Union Berlin
31,2021-04-21,20:30,Bundesliga,Matchweek 30,Wed,Away,0,2,Dortmund,48.0,,4-2-3-1,5.0,80.0,2021,Union Berlin
32,2021-04-24,15:30,Bundesliga,Matchweek 31,Sat,Home,3,1,Werder Bremen,55.0,,3-5-2,16.0,83.3,2021,Union Berlin
33,2021-05-08,15:30,Bundesliga,Matchweek 32,Sat,Away,0,3,Wolfsburg,40.0,,3-1-4-2,9.0,62.5,2021,Union Berlin
34,2021-05-15,15:30,Bundesliga,Matchweek 33,Sat,Away,1,1,Leverkusen,51.0,,3-5-2,13.0,75.0,2021,Union Berlin
35,2021-05-22,15:30,Bundesliga,Matchweek 34,Sat,Home,2,1,RB Leipzig,39.0,2000.0,3-5-2,10.0,87.5,2021,Union Berlin
1,2020-09-19,18:30,Bundesliga,Matchweek 1,Sat,Away,0,3,Dortmund,52.0,9300.0,3-4-3,8.0,50.0,2021,Monchengladbach
2,2020-09-26,15:30,Bundesliga,Matchweek 2,Sat,Home,1,1,Union Berlin,63.0,10383.0,4-2-3-1,14.0,50.0,2021,Monchengladbach
3,2020-10-03,15:30,Bundesliga,Matchweek 3,Sat,Away,3,1,Köln,59.0,300.0,4-2-3-1,14.0,50.0,2021,Monchengladbach
4,2020-10-17,20:30,Bundesliga,Matchweek 4,Sat,Home,1,1,Wolfsburg,47.0,300.0,4-2-3-1,12.0,83.3,2021,Monchengladbach
6,2020-10-24,15:30,Bundesliga,Matchweek 5,Sat,Away,3,2,Mainz 05,60.0,100.0,3-5-2,20.0,71.4,2021,Monchengladbach
8,2020-10-31,18:30,Bundesliga,Matchweek 6,Sat,Home,1,0,RB Leipzig,49.0,,4-2-3-1,5.0,100.0,2021,Monchengladbach
10,2020-11-08,18:00,Bundesliga,Matchweek 7,Sun,Away,3,4,Leverkusen,41.0,,4-2-3-1,14.0,0.0,2021,Monchengladbach
11,2020-11-21,15:30,Bundesliga,Matchweek 8,Sat,Home,1,1,Augsburg,52.0,,4-2-3-1,14.0,80.0,2021,Monchengladbach
13,2020-11-28,18:30,Bundesliga,Matchweek 9,Sat,Home,4,1,Schalke 04,56.0,,4-2-3-1,18.0,50.0,2021,Monchengladbach
15,2020-12-05,15:30,Bundesliga,Matchweek 10,Sat,Away,2,2,Freiburg,61.0,,4-2-3-1,12.0,85.7,2021,Monchengladbach
17,2020-12-12,15:30,Bundesliga,Matchweek 11,Sat,Home,1,1,Hertha BSC,55.0,,4-2-3-1,16.0,66.7,2021,Monchengladbach
18,2020-12-15,18:30,Bundesliga,Matchweek 12,Tue,Away,3,3,Eint Frankfurt,60.0,,4-2-3-1,7.0,33.3,2021,Monchengladbach
19,2020-12-19,15:30,Bundesliga,Matchweek 13,Sat,Home,1,2,Hoffenheim,48.0,,4-2-3-1,14.0,60.0,2021,Monchengladbach
21,2021-01-02,15:30,Bundesliga,Matchweek 14,Sat,Away,1,0,Arminia,58.0,,4-2-3-1,24.0,,2021,Monchengladbach
22,2021-01-08,20:30,Bundesliga,Matchweek 15,Fri,Home,3,2,Bayern Munich,33.0,,4-4-2,8.0,66.7,2021,Monchengladbach
23,2021-01-16,18:30,Bundesliga,Matchweek 16,Sat,Away,2,2,Stuttgart,40.0,,4-2-3-1,7.0,83.3,2021,Monchengladbach
24,2021-01-19,18:30,Bundesliga,Matchweek 17,Tue,Home,1,0,Werder Bremen,60.0,,4-2-3-1,11.0,100.0,2021,Monchengladbach
25,2021-01-22,20:30,Bundesliga,Matchweek 18,Fri,Home,4,2,Dortmund,43.0,,3-4-1-2,10.0,66.7,2021,Monchengladbach
26,2021-01-30,15:30,Bundesliga,Matchweek 19,Sat,Away,1,1,Union Berlin,57.0,,4-4-2,14.0,50.0,2021,Monchengladbach
28,2021-02-06,18:30,Bundesliga,Matchweek 20,Sat,Home,1,2,Köln,64.0,,4-2-3-1,10.0,33.3,2021,Monchengladbach
29,2021-02-14,18:00,Bundesliga,Matchweek 21,Sun,Away,0,0,Wolfsburg,45.0,,4-2-3-1,11.0,100.0,2021,Monchengladbach
30,2021-02-20,15:30,Bundesliga,Matchweek 22,Sat,Home,1,2,Mainz 05,68.0,,3-5-2,12.0,66.7,2021,Monchengladbach
32,2021-02-27,18:30,Bundesliga,Matchweek 23,Sat,Away,2,3,RB Leipzig,34.0,,3-1-4-2,4.0,66.7,2021,Monchengladbach
34,2021-03-06,15:30,Bundesliga,Matchweek 24,Sat,Home,0,1,Leverkusen,43.0,,4-2-3-1,8.0,80.0,2021,Monchengladbach
35,2021-03-12,20:30,Bundesliga,Matchweek 25,Fri,Away,1,3,Augsburg,64.0,,4-2-3-1,25.0,0.0,2021,Monchengladbach
37,2021-03-20,18:30,Bundesliga,Matchweek 26,Sat,Away,3,0,Schalke 04,70.0,,4-2-3-1,21.0,100.0,2021,Monchengladbach
38,2021-04-03,20:30,Bundesliga,Matchweek 27,Sat,Home,2,1,Freiburg,48.0,,4-2-3-1,19.0,75.0,2021,Monchengladbach
39,2021-04-10,15:30,Bundesliga,Matchweek 28,Sat,Away,2,2,Hertha BSC,38.0,,3-4-3,6.0,66.7,2021,Monchengladbach
40,2021-04-17,15:30,Bundesliga,Matchweek 29,Sat,Home,4,0,Eint Frankfurt,37.0,,4-4-2,21.0,100.0,2021,Monchengladbach
41,2021-04-21,20:30,Bundesliga,Matchweek 30,Wed,Away,2,3,Hoffenheim,45.0,,4-4-2,6.0,50.0,2021,Monchengladbach
42,2021-04-25,18:00,Bundesliga,Matchweek 31,Sun,Home,5,0,Arminia,62.0,,3-4-1-2,19.0,100.0,2021,Monchengladbach
43,2021-05-08,18:30,Bundesliga,Matchweek 32,Sat,Away,0,6,Bayern Munich,43.0,,4-4-2,14.0,28.6,2021,Monchengladbach
44,2021-05-15,15:30,Bundesliga,Matchweek 33,Sat,Home,1,2,Stuttgart,50.0,,4-2-3-1,9.0,66.7,2021,Monchengladbach
45,2021-05-22,15:30,Bundesliga,Matchweek 34,Sat,Away,4,2,Werder Bremen,54.0,100.0,3-4-1-2,16.0,75.0,2021,Monchengladbach
1,2020-09-19,15:30,Bundesliga,Matchweek 1,Sat,Home,2,3,Freiburg,63.0,7123.0,3-1-4-2,26.0,40.0,2021,Stuttgart
2,2020-09-26,15:30,Bundesliga,Matchweek 2,Sat,Away,4,1,Mainz 05,51.0,3403.0,3-1-4-2,15.0,50.0,2021,Stuttgart
3,2020-10-03,15:30,Bundesliga,Matchweek 3,Sat,Home,1,1,Leverkusen,48.0,9500.0,3-1-4-2,12.0,83.3,2021,Stuttgart
4,2020-10-17,15:30,Bundesliga,Matchweek 4,Sat,Away,2,0,Hertha BSC,37.0,4000.0,3-4-3,7.0,100.0,2021,Stuttgart
5,2020-10-23,20:30,Bundesliga,Matchweek 5,Fri,Home,1,1,Köln,57.0,,3-4-3,8.0,100.0,2021,Stuttgart
6,2020-10-30,20:30,Bundesliga,Matchweek 6,Fri,Away,1,1,Schalke 04,54.0,,3-1-4-2,19.0,50.0,2021,Stuttgart
7,2020-11-07,15:30,Bundesliga,Matchweek 7,Sat,Home,2,2,Eint Frankfurt,41.0,,3-1-4-2,14.0,66.7,2021,Stuttgart
8,2020-11-21,15:30,Bundesliga,Matchweek 8,Sat,Away,3,3,Hoffenheim,57.0,,3-4-3,22.0,75.0,2021,Stuttgart
9,2020-11-28,15:30,Bundesliga,Matchweek 9,Sat,Home,1,3,Bayern Munich,43.0,,3-4-3,15.0,50.0,2021,Stuttgart
10,2020-12-06,15:30,Bundesliga,Matchweek 10,Sun,Away,2,1,Werder Bremen,46.0,,3-1-4-2,10.0,66.7,2021,Stuttgart
11,2020-12-12,15:30,Bundesliga,Matchweek 11,Sat,Away,5,1,Dortmund,29.0,,3-1-4-2,17.0,75.0,2021,Stuttgart
12,2020-12-15,20:30,Bundesliga,Matchweek 12,Tue,Home,2,2,Union Berlin,62.0,,3-1-4-2,14.0,60.0,2021,Stuttgart
13,2020-12-20,18:00,Bundesliga,Matchweek 13,Sun,Away,0,1,Wolfsburg,52.0,,4-2-3-1,9.0,80.0,2021,Stuttgart
15,2021-01-02,20:30,Bundesliga,Matchweek 14,Sat,Home,0,1,RB Leipzig,45.0,,4-3-3,10.0,87.5,2021,Stuttgart
16,2021-01-10,15:30,Bundesliga,Matchweek 15,Sun,Away,4,1,Augsburg,57.0,,3-4-3,25.0,66.7,2021,Stuttgart
17,2021-01-16,18:30,Bundesliga,Matchweek 16,Sat,Home,2,2,M'Gladbach,60.0,,3-5-2,18.0,80.0,2021,Stuttgart
18,2021-01-20,20:30,Bundesliga,Matchweek 17,Wed,Away,0,3,Arminia,65.0,,3-4-3,10.0,0.0,2021,Stuttgart
19,2021-01-23,15:30,Bundesliga,Matchweek 18,Sat,Away,1,2,Freiburg,60.0,,3-4-3,24.0,60.0,2021,Stuttgart
20,2021-01-29,20:30,Bundesliga,Matchweek 19,Fri,Home,2,0,Mainz 05,52.0,,3-4-3,11.0,100.0,2021,Stuttgart
22,2021-02-06,15:30,Bundesliga,Matchweek 20,Sat,Away,2,5,Leverkusen,45.0,,3-4-3,13.0,54.5,2021,Stuttgart
23,2021-02-13,15:30,Bundesliga,Matchweek 21,Sat,Home,1,1,Hertha BSC,51.0,,3-4-3,11.0,0.0,2021,Stuttgart
24,2021-02-20,15:30,Bundesliga,Matchweek 22,Sat,Away,1,0,Köln,47.0,,3-4-3,9.0,,2021,Stuttgart
25,2021-02-27,15:30,Bundesliga,Matchweek 23,Sat,Home,5,1,Schalke 04,49.0,,3-4-3,17.0,80.0,2021,Stuttgart
26,2021-03-06,15:30,Bundesliga,Matchweek 24,Sat,Away,1,1,Eint Frankfurt,42.0,,3-4-3,8.0,85.7,2021,Stuttgart
27,2021-03-14,18:00,Bundesliga,Matchweek 25,Sun,Home,2,0,Hoffenheim,43.0,,3-4-3,7.0,100.0,2021,Stuttgart
28,2021-03-20,15:30,Bundesliga,Matchweek 26,Sat,Away,0,4,Bayern Munich,57.0,,3-4-3,12.0,42.9,2021,Stuttgart
29,2021-04-04,15:30,Bundesliga,Matchweek 27,Sun,Home,1,0,Werder Bremen,59.0,,3-4-3,14.0,100.0,2021,Stuttgart
30,2021-04-10,18:30,Bundesliga,Matchweek 28,Sat,Home,2,3,Dortmund,49.0,,3-4-3,13.0,57.1,2021,Stuttgart
31,2021-04-17,15:30,Bundesliga,Matchweek 29,Sat,Away,1,2,Union Berlin,56.0,,3-4-3,9.0,50.0,2021,Stuttgart
32,2021-04-21,20:30,Bundesliga,Matchweek 30,Wed,Home,1,3,Wolfsburg,61.0,,3-4-3,9.0,25.0,2021,Stuttgart
33,2021-04-25,15:30,Bundesliga,Matchweek 31,Sun,Away,0,2,RB Leipzig,34.0,,3-4-3,1.0,90.9,2021,Stuttgart
34,2021-05-07,20:30,Bundesliga,Matchweek 32,Fri,Home,2,1,Augsburg,57.0,,3-4-3,16.0,88.9,2021,Stuttgart
35,2021-05-15,15:30,Bundesliga,Matchweek 33,Sat,Away,2,1,M'Gladbach,50.0,,3-4-3,11.0,75.0,2021,Stuttgart
36,2021-05-22,15:30,Bundesliga,Matchweek 34,Sat,Home,0,2,Arminia,72.0,,3-4-3,12.0,66.7,2021,Stuttgart
1,2020-09-19,15:30,Bundesliga,Matchweek 1,Sat,Away,3,2,Stuttgart,37.0,7123.0,4-1-3-2,7.0,66.7,2021,Freiburg
2,2020-09-27,18:00,Bundesliga,Matchweek 2,Sun,Home,1,1,Wolfsburg,53.0,3200.0,4-2-2-2,19.0,50.0,2021,Freiburg
3,2020-10-03,15:30,Bundesliga,Matchweek 3,Sat,Away,0,4,Dortmund,34.0,11500.0,3-4-3,6.0,42.9,2021,Freiburg
4,2020-10-17,15:30,Bundesliga,Matchweek 4,Sat,Home,1,1,Werder Bremen,63.0,,4-4-2,20.0,100.0,2021,Freiburg
5,2020-10-24,15:30,Bundesliga,Matchweek 5,Sat,Away,1,1,Union Berlin,49.0,4500.0,4-4-2,8.0,85.7,2021,Freiburg
6,2020-11-01,15:30,Bundesliga,Matchweek 6,Sun,Home,2,4,Leverkusen,40.0,,4-2-2-2,8.0,42.9,2021,Freiburg
7,2020-11-07,15:30,Bundesliga,Matchweek 7,Sat,Away,0,3,RB Leipzig,45.0,,5-3-2,8.0,71.4,2021,Freiburg
8,2020-11-22,15:30,Bundesliga,Matchweek 8,Sun,Home,1,3,Mainz 05,71.0,,4-4-2,20.0,62.5,2021,Freiburg
9,2020-11-28,15:30,Bundesliga,Matchweek 9,Sat,Away,1,1,Augsburg,42.0,,3-4-3,10.0,50.0,2021,Freiburg
10,2020-12-05,15:30,Bundesliga,Matchweek 10,Sat,Home,2,2,M'Gladbach,39.0,,3-4-3,21.0,50.0,2021,Freiburg
11,2020-12-12,15:30,Bundesliga,Matchweek 11,Sat,Home,2,0,Arminia,48.0,,3-4-3,15.0,100.0,2021,Freiburg
12,2020-12-16,18:30,Bundesliga,Matchweek 12,Wed,Away,2,0,Schalke 04,46.0,,3-4-3,11.0,100.0,2021,Freiburg
13,2020-12-20,15:30,Bundesliga,Matchweek 13,Sun,Home,4,1,Hertha BSC,43.0,,3-4-3,16.0,66.7,2021,Freiburg
15,2021-01-02,15:30,Bundesliga,Matchweek 14,Sat,Away,3,1,Hoffenheim,31.0,,3-4-3,9.0,83.3,2021,Freiburg
16,2021-01-09,15:30,Bundesliga,Matchweek 15,Sat,Home,5,0,Köln,49.0,,4-2-3-1,13.0,100.0,2021,Freiburg
17,2021-01-17,15:30,Bundesliga,Matchweek 16,Sun,Away,1,2,Bayern Munich,41.0,,3-4-3,8.0,77.8,2021,Freiburg
18,2021-01-20,20:30,Bundesliga,Matchweek 17,Wed,Home,2,2,Eint Frankfurt,39.0,,4-4-2,11.0,33.3,2021,Freiburg
19,2021-01-23,15:30,Bundesliga,Matchweek 18,Sat,Home,2,1,Stuttgart,40.0,,3-4-3,10.0,88.9,2021,Freiburg
20,2021-01-31,18:00,Bundesliga,Matchweek 19,Sun,Away,0,3,Wolfsburg,54.0,,3-4-3,10.0,40.0,2021,Freiburg
21,2021-02-06,15:30,Bundesliga,Matchweek 20,Sat,Home,2,1,Dortmund,33.0,,4-2-2-2,6.0,83.3,2021,Freiburg
22,2021-02-13,15:30,Bundesliga,Matchweek 21,Sat,Away,0,0,Werder Bremen,53.0,,3-4-3,9.0,100.0,2021,Freiburg
23,2021-02-20,15:30,Bundesliga,Matchweek 22,Sat,Home,0,1,Union Berlin,65.0,,4-2-2-2,9.0,75.0,2021,Freiburg
24,2021-02-28,18:00,Bundesliga,Matchweek 23,Sun,Away,2,1,Leverkusen,34.0,,4-2-2-2,6.0,80.0,2021,Freiburg
25,2021-03-06,15:30,Bundesliga,Matchweek 24,Sat,Home,0,3,RB Leipzig,43.0,,4-2-2-2,5.0,57.1,2021,Freiburg
26,2021-03-13,15:30,Bundesliga,Matchweek 25,Sat,Away,0,1,Mainz 05,52.0,,3-4-3,12.0,85.7,2021,Freiburg
27,2021-03-21,18:00,Bundesliga,Matchweek 26,Sun,Home,2,0,Augsburg,57.0,,4-4-2,13.0,100.0,2021,Freiburg
28,2021-04-03,20:30,Bundesliga,Matchweek 27,Sat,Away,1,2,M'Gladbach,52.0,,5-3-2,10.0,66.7,2021,Freiburg
29,2021-04-09,20:30,Bundesliga,Matchweek 28,Fri,Away,0,1,Arminia,55.0,,3-5-2,9.0,75.0,2021,Freiburg
30,2021-04-17,15:30,Bundesliga,Matchweek 29,Sat,Home,4,0,Schalke 04,58.0,,3-4-3,12.0,100.0,2021,Freiburg
31,2021-04-24,15:30,Bundesliga,Matchweek 31,Sat,Home,1,1,Hoffenheim,49.0,,3-4-3,13.0,75.0,2021,Freiburg
32,2021-05-06,18:30,Bundesliga,Matchweek 30,Thu,Away,0,3,Hertha BSC,61.0,,3-4-3,13.0,50.0,2021,Freiburg
33,2021-05-09,13:30,Bundesliga,Matchweek 32,Sun,Away,4,1,Köln,45.0,,4-2-2-2,11.0,50.0,2021,Freiburg
34,2021-05-15,15:30,Bundesliga,Matchweek 33,Sat,Home,2,2,Bayern Munich,39.0,,4-4-2,14.0,83.3,2021,Freiburg
35,2021-05-22,15:30,Bundesliga,Matchweek 34,Sat,Away,1,3,Eint Frankfurt,48.0,,4-4-2,11.0,80.0,2021,Freiburg
1,2020-09-19,15:30,Bundesliga,Matchweek 1,Sat,Away,3,2,Köln,51.0,,3-4-1-2,12.0,66.7,2021,Hoffenheim
2,2020-09-27,15:30,Bundesliga,Matchweek 2,Sun,Home,4,1,Bayern Munich,29.0,,3-4-3,16.0,66.7,2021,Hoffenheim
3,2020-10-03,15:30,Bundesliga,Matchweek 3,Sat,Away,1,2,Eint Frankfurt,48.0,8000.0,3-1-4-2,12.0,66.7,2021,Hoffenheim
4,2020-10-17,15:30,Bundesliga,Matchweek 4,Sat,Home,0,1,Dortmund,45.0,6030.0,3-4-3,9.0,75.0,2021,Hoffenheim
6,2020-10-25,18:00,Bundesliga,Matchweek 5,Sun,Away,1,1,Werder Bremen,51.0,,3-4-3,14.0,50.0,2021,Hoffenheim
8,2020-11-02,20:30,Bundesliga,Matchweek 6,Mon,Home,1,3,Union Berlin,60.0,,3-1-4-2,10.0,66.7,2021,Hoffenheim
10,2020-11-08,15:30,Bundesliga,Matchweek 7,Sun,Away,1,2,Wolfsburg,54.0,,3-1-4-2,15.0,71.4,2021,Hoffenheim
11,2020-11-21,15:30,Bundesliga,Matchweek 8,Sat,Home,3,3,Stuttgart,43.0,,5-3-2,12.0,62.5,2021,Hoffenheim
13,2020-11-29,18:00,Bundesliga,Matchweek 9,Sun,Away,1,1,Mainz 05,64.0,,4-1-2-1-2◆,10.0,66.7,2021,Hoffenheim
15,2020-12-07,20:30,Bundesliga,Matchweek 10,Mon,Home,3,1,Augsburg,55.0,,4-1-2-1-2◆,10.0,50.0,2021,Hoffenheim
17,2020-12-13,18:00,Bundesliga,Matchweek 11,Sun,Away,1,4,Leverkusen,40.0,,4-1-3-2,11.0,62.5,2021,Hoffenheim
18,2020-12-16,20:30,Bundesliga,Matchweek 12,Wed,Home,0,1,RB Leipzig,45.0,,4-2-3-1,6.0,66.7,2021,Hoffenheim
19,2020-12-19,15:30,Bundesliga,Matchweek 13,Sat,Away,2,1,M'Gladbach,52.0,,4-2-3-1,16.0,100.0,2021,Hoffenheim
21,2021-01-02,15:30,Bundesliga,Matchweek 14,Sat,Home,1,3,Freiburg,69.0,,4-2-3-1,15.0,60.0,2021,Hoffenheim
22,2021-01-09,15:30,Bundesliga,Matchweek 15,Sat,Away,0,4,Schalke 04,60.0,,3-4-3,19.0,20.0,2021,Hoffenheim
23,2021-01-16,15:30,Bundesliga,Matchweek 16,Sat,Home,0,0,Arminia,53.0,,3-5-2,12.0,100.0,2021,Hoffenheim
24,2021-01-19,20:30,Bundesliga,Matchweek 17,Tue,Away,3,0,Hertha BSC,43.0,,3-5-2,11.0,100.0,2021,Hoffenheim
25,2021-01-24,18:00,Bundesliga,Matchweek 18,Sun,Home,3,0,Köln,45.0,,3-5-2,11.0,100.0,2021,Hoffenheim
26,2021-01-30,15:30,Bundesliga,Matchweek 19,Sat,Away,1,4,Bayern Munich,40.0,,3-5-2,16.0,55.6,2021,Hoffenheim
27,2021-02-07,15:30,Bundesliga,Matchweek 20,Sun,Home,1,3,Eint Frankfurt,47.0,,3-5-2,8.0,40.0,2021,Hoffenheim
28,2021-02-13,15:30,Bundesliga,Matchweek 21,Sat,Away,2,2,Dortmund,46.0,,5-3-2,13.0,33.3,2021,Hoffenheim
30,2021-02-21,18:00,Bundesliga,Matchweek 22,Sun,Home,4,0,Werder Bremen,51.0,,3-4-1-2,12.0,100.0,2021,Hoffenheim
32,2021-02-28,13:30,Bundesliga,Matchweek 23,Sun,Away,1,1,Union Berlin,54.0,,3-4-1-2,14.0,100.0,2021,Hoffenheim
33,2021-03-06,15:30,Bundesliga,Matchweek 24,Sat,Home,2,1,Wolfsburg,39.0,,3-4-1-2,9.0,80.0,2021,Hoffenheim
34,2021-03-14,18:00,Bundesliga,Matchweek 25,Sun,Away,0,2,Stuttgart,57.0,,3-4-1-2,16.0,50.0,2021,Hoffenheim
35,2021-03-21,13:30,Bundesliga,Matchweek 26,Sun,Home,1,2,Mainz 05,63.0,,3-4-1-2,8.0,71.4,2021,Hoffenheim
36,2021-04-03,15:30,Bundesliga,Matchweek 27,Sat,Away,1,2,Augsburg,69.0,,3-4-1-2,15.0,0.0,2021,Hoffenheim
37,2021-04-12,20:30,Bundesliga,Matchweek 28,Mon,Home,0,0,Leverkusen,46.0,,3-1-4-2,2.0,100.0,2021,Hoffenheim
38,2021-04-16,20:30,Bundesliga,Matchweek 29,Fri,Away,0,0,RB Leipzig,37.0,,4-2-3-1,5.0,100.0,2021,Hoffenheim
39,2021-04-21,20:30,Bundesliga,Matchweek 30,Wed,Home,3,2,M'Gladbach,55.0,,4-3-3,19.0,0.0,2021,Hoffenheim
40,2021-04-24,15:30,Bundesliga,Matchweek 31,Sat,Away,1,1,Freiburg,51.0,,4-2-3-1,17.0,100.0,2021,Hoffenheim
41,2021-05-08,15:30,Bundesliga,Matchweek 32,Sat,Home,4,2,Schalke 04,62.0,,4-2-3-1,21.0,33.3,2021,Hoffenheim
42,2021-05-15,15:30,Bundesliga,Matchweek 33,Sat,Away,1,1,Arminia,59.0,,4-2-3-1,7.0,83.3,2021,Hoffenheim
43,2021-05-22,15:30,Bundesliga,Matchweek 34,Sat,Home,2,1,Hertha BSC,57.0,100.0,4-2-3-1,21.0,80.0,2021,Hoffenheim
1,2020-09-20,15:30,Bundesliga,Matchweek 1,Sun,Away,1,3,RB Leipzig,28.0,8500.0,4-2-3-1,9.0,77.8,2021,Mainz 05
2,2020-09-26,15:30,Bundesliga,Matchweek 2,Sat,Home,1,4,Stuttgart,49.0,3403.0,4-2-3-1,12.0,42.9,2021,Mainz 05
3,2020-10-02,20:30,Bundesliga,Matchweek 3,Fri,Away,0,4,Union Berlin,50.0,4400.0,4-2-3-1,5.0,42.9,2021,Mainz 05
4,2020-10-17,15:30,Bundesliga,Matchweek 4,Sat,Home,0,1,Leverkusen,39.0,250.0,4-2-3-1,6.0,80.0,2021,Mainz 05
5,2020-10-24,15:30,Bundesliga,Matchweek 5,Sat,Home,2,3,M'Gladbach,40.0,100.0,4-2-3-1,15.0,81.8,2021,Mainz 05
6,2020-10-31,15:30,Bundesliga,Matchweek 6,Sat,Away,1,3,Augsburg,50.0,,4-2-3-1,9.0,50.0,2021,Mainz 05
7,2020-11-07,15:30,Bundesliga,Matchweek 7,Sat,Home,2,2,Schalke 04,33.0,,4-2-3-1,11.0,33.3,2021,Mainz 05
8,2020-11-22,15:30,Bundesliga,Matchweek 8,Sun,Away,3,1,Freiburg,29.0,,3-5-2,20.0,83.3,2021,Mainz 05
9,2020-11-29,18:00,Bundesliga,Matchweek 9,Sun,Home,1,1,Hoffenheim,36.0,,3-4-3,9.0,75.0,2021,Mainz 05
10,2020-12-05,15:30,Bundesliga,Matchweek 10,Sat,Away,1,2,Arminia,52.0,,3-4-3,15.0,60.0,2021,Mainz 05
11,2020-12-12,15:30,Bundesliga,Matchweek 11,Sat,Home,0,1,Köln,60.0,,3-4-3,15.0,83.3,2021,Mainz 05
12,2020-12-15,20:30,Bundesliga,Matchweek 12,Tue,Away,0,0,Hertha BSC,36.0,,5-3-2,5.0,,2021,Mainz 05
13,2020-12-19,15:30,Bundesliga,Matchweek 13,Sat,Home,0,1,Werder Bremen,44.0,,3-1-4-2,8.0,85.7,2021,Mainz 05
15,2021-01-03,18:00,Bundesliga,Matchweek 14,Sun,Away,2,5,Bayern Munich,28.0,,4-1-2-1-2◆,12.0,63.6,2021,Mainz 05
16,2021-01-09,15:30,Bundesliga,Matchweek 15,Sat,Home,0,2,Eint Frankfurt,41.0,,4-2-3-1,9.0,100.0,2021,Mainz 05
17,2021-01-16,15:30,Bundesliga,Matchweek 16,Sat,Away,1,1,Dortmund,28.0,,5-3-2,9.0,85.7,2021,Mainz 05
18,2021-01-19,20:30,Bundesliga,Matchweek 17,Tue,Home,0,2,Wolfsburg,38.0,,3-5-2,8.0,0.0,2021,Mainz 05
19,2021-01-23,15:30,Bundesliga,Matchweek 18,Sat,Home,3,2,RB Leipzig,32.0,,3-4-1-2,9.0,60.0,2021,Mainz 05
20,2021-01-29,20:30,Bundesliga,Matchweek 19,Fri,Away,0,2,Stuttgart,48.0,,3-4-3,9.0,33.3,2021,Mainz 05
21,2021-02-06,15:30,Bundesliga,Matchweek 20,Sat,Home,1,0,Union Berlin,43.0,,3-4-1-2,9.0,100.0,2021,Mainz 05
22,2021-02-13,15:30,Bundesliga,Matchweek 21,Sat,Away,2,2,Leverkusen,31.0,,3-4-1-2,19.0,50.0,2021,Mainz 05
